site,year,env,rep,row,col,entry,yield
SLake,2025,SLake_2025,2.00,1.00,4.00,2.00,67.88
SLake,2025,SLake_2025,3.00,13.00,6.00,2.00,67.25
Walsh,2025,Walsh_2025,1.00,8.00,1.00,2.00,73.72
Walsh,2025,Walsh_2025,2.00,13.00,3.00,2.00,81.26
Walsh,2025,Walsh_2025,3.00,3.00,6.00,2.00,59.84
Akron,2025,Akron_2025,1.00,8.00,2.00,2.00,43.14
Akron,2025,Akron_2025,2.00,9.00,6.00,2.00,48.78
Akron,2025,Akron_2025,3.00,11.00,11.00,2.00,40.99
Genoa,2025,Genoa_2025,1.00,9.00,1.00,2.00,45.46
Genoa,2025,Genoa_2025,2.00,6.00,3.00,2.00,33.64
Genoa,2025,Genoa_2025,3.00,19.00,5.00,2.00,48.18
Julesburg,2025,Julesburg_2025,1.00,8.00,2.00,2.00,71.66
Julesburg,2025,Julesburg_2025,2.00,1.00,7.00,2.00,56.65
Julesburg,2025,Julesburg_2025,3.00,2.00,12.00,2.00,58.05
Orchard,2025,Orchard_2025,1.00,17.00,3.00,2.00,10.01
Orchard,2025,Orchard_2025,2.00,14.00,6.00,2.00,15.17
Orchard,2025,Orchard_2025,3.00,13.00,9.00,2.00,23.07
Yuma,2025,Yuma_2025,1.00,24.00,1.00,2.00,92.57
Yuma,2025,Yuma_2025,2.00,14.00,4.00,2.00,92.57
Yuma,2025,Yuma_2025,3.00,12.00,5.00,2.00,79.46
Burlington,2025,Burlington_2025,1.00,6.00,2.00,3.00,52.90
Burlington,2025,Burlington_2025,2.00,11.00,5.00,3.00,58.01
Burlington,2025,Burlington_2025,3.00,10.00,11.00,3.00,65.07
Lamar,2025,Lamar_2025,1.00,4.00,2.00,3.00,67.80
Lamar,2025,Lamar_2025,2.00,15.00,3.00,3.00,68.85
Lamar,2025,Lamar_2025,3.00,12.00,6.00,3.00,70.02
SLake,2025,SLake_2025,1.00,1.00,1.00,3.00,71.55
SLake,2025,SLake_2025,2.00,16.00,4.00,3.00,66.53
SLake,2025,SLake_2025,3.00,9.00,5.00,3.00,65.45
Walsh,2025,Walsh_2025,1.00,5.00,2.00,3.00,64.72
Walsh,2025,Walsh_2025,2.00,15.00,3.00,3.00,69.90
Walsh,2025,Walsh_2025,3.00,20.00,6.00,3.00,68.60
Akron,2025,Akron_2025,1.00,7.00,1.00,3.00,46.72
Akron,2025,Akron_2025,2.00,11.00,5.00,3.00,42.84
Akron,2025,Akron_2025,3.00,13.00,10.00,3.00,36.49
Genoa,2025,Genoa_2025,1.00,4.00,2.00,3.00,42.90
Genoa,2025,Genoa_2025,2.00,24.00,4.00,3.00,51.57
Genoa,2025,Genoa_2025,3.00,17.00,6.00,3.00,57.07
Julesburg,2025,Julesburg_2025,1.00,6.00,3.00,3.00,68.67
Julesburg,2025,Julesburg_2025,2.00,2.00,6.00,3.00,48.78
Julesburg,2025,Julesburg_2025,3.00,4.00,12.00,3.00,73.39
Orchard,2025,Orchard_2025,1.00,14.00,3.00,3.00,24.53
Orchard,2025,Orchard_2025,2.00,9.00,5.00,3.00,30.85
Orchard,2025,Orchard_2025,3.00,8.00,7.00,3.00,35.40
Yuma,2025,Yuma_2025,1.00,10.00,2.00,3.00,88.66
Yuma,2025,Yuma_2025,2.00,4.00,3.00,3.00,80.44
Yuma,2025,Yuma_2025,3.00,11.00,6.00,3.00,84.02
Burlington,2025,Burlington_2025,1.00,5.00,1.00,4.00,49.28
Burlington,2025,Burlington_2025,2.00,10.00,6.00,4.00,54.58
Burlington,2025,Burlington_2025,3.00,4.00,12.00,4.00,62.33
Lamar,2025,Lamar_2025,1.00,10.00,1.00,4.00,84.21
Lamar,2025,Lamar_2025,2.00,7.00,3.00,4.00,76.86
Lamar,2025,Lamar_2025,3.00,3.00,5.00,4.00,80.09
SLake,2025,SLake_2025,1.00,3.00,2.00,4.00,65.80
SLake,2025,SLake_2025,2.00,8.00,3.00,4.00,69.88
SLake,2025,SLake_2025,3.00,13.00,5.00,4.00,64.98
Walsh,2025,Walsh_2025,1.00,9.00,1.00,4.00,74.83
Walsh,2025,Walsh_2025,2.00,7.00,3.00,4.00,67.37
Walsh,2025,Walsh_2025,3.00,2.00,6.00,4.00,58.23
Akron,2025,Akron_2025,1.00,2.00,2.00,4.00,45.95
Akron,2025,Akron_2025,2.00,4.00,5.00,4.00,48.35
Akron,2025,Akron_2025,3.00,1.00,9.00,4.00,50.43
Genoa,2025,Genoa_2025,1.00,20.00,1.00,4.00,46.87
Genoa,2025,Genoa_2025,2.00,18.00,4.00,4.00,39.41
Genoa,2025,Genoa_2025,3.00,14.00,6.00,4.00,42.36
Julesburg,2025,Julesburg_2025,1.00,3.00,2.00,4.00,62.85
Julesburg,2025,Julesburg_2025,2.00,7.00,8.00,4.00,36.38
Julesburg,2025,Julesburg_2025,3.00,13.00,10.00,4.00,54.81
Orchard,2025,Orchard_2025,1.00,5.00,1.00,4.00,36.88
Orchard,2025,Orchard_2025,2.00,2.00,6.00,4.00,45.21
Orchard,2025,Orchard_2025,3.00,1.00,7.00,4.00,39.81
Yuma,2025,Yuma_2025,1.00,16.00,1.00,4.00,85.21
Yuma,2025,Yuma_2025,2.00,2.00,4.00,4.00,77.07
Yuma,2025,Yuma_2025,3.00,26.00,5.00,4.00,71.23
Burlington,2025,Burlington_2025,1.00,7.00,3.00,5.00,54.41
Burlington,2025,Burlington_2025,2.00,2.00,6.00,5.00,54.99
Burlington,2025,Burlington_2025,3.00,10.00,12.00,5.00,64.44
Lamar,2025,Lamar_2025,1.00,12.00,2.00,5.00,83.24
Lamar,2025,Lamar_2025,2.00,5.00,3.00,5.00,84.34
Lamar,2025,Lamar_2025,3.00,7.00,5.00,5.00,85.57
SLake,2025,SLake_2025,1.00,14.00,1.00,5.00,61.34
SLake,2025,SLake_2025,2.00,15.00,3.00,5.00,72.14
SLake,2025,SLake_2025,3.00,10.00,5.00,5.00,65.06
Walsh,2025,Walsh_2025,1.00,10.00,1.00,5.00,76.94
Walsh,2025,Walsh_2025,2.00,20.00,3.00,5.00,52.84
Walsh,2025,Walsh_2025,3.00,19.00,6.00,5.00,67.67
Akron,2025,Akron_2025,1.00,5.00,1.00,5.00,49.40
Akron,2025,Akron_2025,2.00,8.00,6.00,5.00,51.20
Akron,2025,Akron_2025,3.00,9.00,11.00,5.00,40.27
Genoa,2025,Genoa_2025,1.00,15.00,2.00,5.00,44.93
Genoa,2025,Genoa_2025,2.00,14.00,3.00,5.00,47.06
Genoa,2025,Genoa_2025,3.00,8.00,6.00,5.00,46.69
Julesburg,2025,Julesburg_2025,1.00,4.00,3.00,5.00,61.10
Julesburg,2025,Julesburg_2025,2.00,10.00,8.00,5.00,52.08
Julesburg,2025,Julesburg_2025,3.00,9.00,12.00,5.00,73.42
Orchard,2025,Orchard_2025,1.00,10.00,2.00,5.00,44.35
Orchard,2025,Orchard_2025,2.00,12.00,4.00,5.00,44.96
Orchard,2025,Orchard_2025,3.00,2.00,7.00,5.00,39.41
Yuma,2025,Yuma_2025,1.00,8.00,2.00,5.00,92.14
Yuma,2025,Yuma_2025,2.00,13.00,4.00,5.00,90.25
Yuma,2025,Yuma_2025,3.00,7.00,5.00,5.00,83.75
Burlington,2025,Burlington_2025,1.00,11.00,1.00,6.00,50.40
Burlington,2025,Burlington_2025,2.00,10.00,5.00,6.00,46.49
Burlington,2025,Burlington_2025,3.00,8.00,11.00,6.00,56.27
Lamar,2025,Lamar_2025,1.00,1.00,2.00,6.00,62.14
Lamar,2025,Lamar_2025,2.00,13.00,3.00,6.00,56.06
Lamar,2025,Lamar_2025,3.00,2.00,6.00,6.00,57.30
SLake,2025,SLake_2025,1.00,21.00,2.00,6.00,55.56
SLake,2025,SLake_2025,2.00,20.00,3.00,6.00,62.28
SLake,2025,SLake_2025,3.00,1.00,6.00,6.00,55.88
Walsh,2025,Walsh_2025,1.00,2.00,1.00,6.00,61.44
Walsh,2025,Walsh_2025,2.00,9.00,3.00,6.00,62.39
Walsh,2025,Walsh_2025,3.00,6.00,6.00,6.00,56.62
Akron,2025,Akron_2025,1.00,12.00,1.00,6.00,43.67
Akron,2025,Akron_2025,2.00,3.00,7.00,6.00,39.56
Akron,2025,Akron_2025,3.00,10.00,12.00,6.00,32.18
Genoa,2025,Genoa_2025,1.00,7.00,1.00,6.00,24.67
Genoa,2025,Genoa_2025,2.00,9.00,4.00,6.00,34.34
Genoa,2025,Genoa_2025,3.00,11.00,5.00,6.00,41.22
Julesburg,2025,Julesburg_2025,1.00,1.00,2.00,6.00,53.33
Julesburg,2025,Julesburg_2025,2.00,13.00,6.00,6.00,48.03
Julesburg,2025,Julesburg_2025,3.00,9.00,9.00,6.00,51.02
Orchard,2025,Orchard_2025,1.00,4.00,2.00,6.00,33.00
Orchard,2025,Orchard_2025,2.00,2.00,5.00,6.00,42.66
Orchard,2025,Orchard_2025,3.00,11.00,8.00,6.00,50.07
Yuma,2025,Yuma_2025,1.00,15.00,1.00,6.00,74.35
Yuma,2025,Yuma_2025,2.00,9.00,4.00,6.00,70.50
Yuma,2025,Yuma_2025,3.00,7.00,6.00,6.00,74.41
Burlington,2025,Burlington_2025,1.00,10.00,1.00,8.00,61.58
Burlington,2025,Burlington_2025,2.00,5.00,7.00,8.00,71.21
Burlington,2025,Burlington_2025,3.00,3.00,11.00,8.00,63.80
Lamar,2025,Lamar_2025,1.00,8.00,2.00,8.00,82.46
Lamar,2025,Lamar_2025,2.00,17.00,4.00,8.00,79.41
Lamar,2025,Lamar_2025,3.00,10.00,6.00,8.00,82.10
SLake,2025,SLake_2025,1.00,2.00,2.00,8.00,66.08
SLake,2025,SLake_2025,2.00,5.00,3.00,8.00,72.68
SLake,2025,SLake_2025,3.00,4.00,5.00,8.00,68.34
Walsh,2025,Walsh_2025,1.00,10.00,2.00,8.00,72.66
Walsh,2025,Walsh_2025,2.00,12.00,4.00,8.00,72.57
Walsh,2025,Walsh_2025,3.00,4.00,6.00,8.00,71.16
Akron,2025,Akron_2025,1.00,12.00,2.00,8.00,49.14
Akron,2025,Akron_2025,2.00,13.00,8.00,8.00,53.39
Akron,2025,Akron_2025,3.00,5.00,12.00,8.00,40.21
Genoa,2025,Genoa_2025,1.00,19.00,2.00,8.00,55.31
Genoa,2025,Genoa_2025,2.00,13.00,4.00,8.00,50.56
Genoa,2025,Genoa_2025,3.00,18.00,5.00,8.00,56.13
Julesburg,2025,Julesburg_2025,1.00,2.00,3.00,8.00,63.89
Julesburg,2025,Julesburg_2025,2.00,6.00,5.00,8.00,63.91
Julesburg,2025,Julesburg_2025,3.00,8.00,9.00,8.00,62.38
Orchard,2025,Orchard_2025,1.00,16.00,3.00,8.00,20.97
Orchard,2025,Orchard_2025,2.00,10.00,5.00,8.00,32.18
Orchard,2025,Orchard_2025,3.00,6.00,7.00,8.00,39.41
Yuma,2025,Yuma_2025,1.00,3.00,1.00,8.00,99.62
Yuma,2025,Yuma_2025,2.00,24.00,3.00,8.00,81.81
Yuma,2025,Yuma_2025,3.00,20.00,5.00,8.00,81.79
Burlington,2025,Burlington_2025,1.00,2.00,1.00,9.00,44.85
Burlington,2025,Burlington_2025,2.00,4.00,8.00,9.00,53.05
Burlington,2025,Burlington_2025,3.00,11.00,12.00,9.00,57.73
Lamar,2025,Lamar_2025,1.00,7.00,1.00,9.00,73.93
Lamar,2025,Lamar_2025,2.00,13.00,4.00,9.00,73.09
Lamar,2025,Lamar_2025,3.00,15.00,5.00,9.00,71.36
SLake,2025,SLake_2025,1.00,13.00,1.00,9.00,61.13
SLake,2025,SLake_2025,2.00,1.00,3.00,9.00,74.45
SLake,2025,SLake_2025,3.00,12.00,5.00,9.00,60.12
Walsh,2025,Walsh_2025,1.00,13.00,1.00,9.00,68.36
Walsh,2025,Walsh_2025,2.00,20.00,4.00,9.00,63.86
Walsh,2025,Walsh_2025,3.00,17.00,6.00,9.00,63.51
Akron,2025,Akron_2025,1.00,6.00,4.00,9.00,43.82
Akron,2025,Akron_2025,2.00,8.00,5.00,9.00,42.32
Akron,2025,Akron_2025,3.00,11.00,10.00,9.00,37.27
Genoa,2025,Genoa_2025,1.00,5.00,1.00,9.00,
Genoa,2025,Genoa_2025,2.00,21.00,3.00,9.00,41.15
Genoa,2025,Genoa_2025,3.00,22.00,5.00,9.00,41.80
Julesburg,2025,Julesburg_2025,1.00,13.00,2.00,9.00,57.36
Julesburg,2025,Julesburg_2025,2.00,7.00,7.00,9.00,46.98
Julesburg,2025,Julesburg_2025,3.00,12.00,10.00,9.00,62.58
Orchard,2025,Orchard_2025,1.00,6.00,2.00,9.00,40.43
Orchard,2025,Orchard_2025,2.00,5.00,4.00,9.00,30.76
Orchard,2025,Orchard_2025,3.00,4.00,7.00,9.00,35.62
Yuma,2025,Yuma_2025,1.00,6.00,2.00,9.00,83.20
Yuma,2025,Yuma_2025,2.00,3.00,4.00,9.00,73.67
Yuma,2025,Yuma_2025,3.00,5.00,6.00,9.00,77.75
Burlington,2025,Burlington_2025,1.00,7.00,2.00,10.00,47.10
Burlington,2025,Burlington_2025,2.00,8.00,7.00,10.00,47.09
Burlington,2025,Burlington_2025,3.00,9.00,10.00,10.00,47.06
Lamar,2025,Lamar_2025,1.00,19.00,1.00,10.00,67.39
Lamar,2025,Lamar_2025,2.00,16.00,4.00,10.00,64.39
Lamar,2025,Lamar_2025,3.00,18.00,6.00,10.00,68.82
SLake,2025,SLake_2025,1.00,15.00,2.00,10.00,58.64
SLake,2025,SLake_2025,2.00,11.00,4.00,10.00,58.04
SLake,2025,SLake_2025,3.00,10.00,6.00,10.00,52.19
Walsh,2025,Walsh_2025,1.00,3.00,2.00,10.00,54.90
Walsh,2025,Walsh_2025,2.00,6.00,3.00,10.00,59.21
Walsh,2025,Walsh_2025,3.00,12.00,5.00,10.00,55.53
Akron,2025,Akron_2025,1.00,13.00,1.00,10.00,43.64
Akron,2025,Akron_2025,2.00,1.00,5.00,10.00,37.50
Akron,2025,Akron_2025,3.00,10.00,10.00,10.00,35.37
Genoa,2025,Genoa_2025,1.00,20.00,2.00,10.00,49.52
Genoa,2025,Genoa_2025,2.00,2.00,3.00,10.00,35.71
Genoa,2025,Genoa_2025,3.00,25.00,6.00,10.00,31.50
Julesburg,2025,Julesburg_2025,1.00,6.00,4.00,10.00,55.91
Julesburg,2025,Julesburg_2025,2.00,10.00,7.00,10.00,40.92
Julesburg,2025,Julesburg_2025,3.00,9.00,10.00,10.00,54.61
Orchard,2025,Orchard_2025,1.00,18.00,2.00,10.00,38.74
Orchard,2025,Orchard_2025,2.00,13.00,5.00,10.00,30.99
Orchard,2025,Orchard_2025,3.00,6.00,8.00,10.00,38.71
Yuma,2025,Yuma_2025,1.00,4.00,1.00,10.00,82.39
Yuma,2025,Yuma_2025,2.00,6.00,4.00,10.00,73.58
Yuma,2025,Yuma_2025,3.00,23.00,6.00,10.00,66.80
Burlington,2025,Burlington_2025,1.00,3.00,1.00,11.00,66.94
Burlington,2025,Burlington_2025,2.00,1.00,5.00,11.00,69.30
Burlington,2025,Burlington_2025,3.00,11.00,9.00,11.00,74.13
Lamar,2025,Lamar_2025,1.00,21.00,2.00,11.00,63.32
Lamar,2025,Lamar_2025,2.00,1.00,4.00,11.00,70.22
Lamar,2025,Lamar_2025,3.00,4.00,5.00,11.00,76.30
SLake,2025,SLake_2025,1.00,4.00,2.00,11.00,65.45
SLake,2025,SLake_2025,2.00,18.00,3.00,11.00,72.28
SLake,2025,SLake_2025,3.00,21.00,5.00,11.00,69.60
Walsh,2025,Walsh_2025,1.00,20.00,1.00,11.00,74.69
Walsh,2025,Walsh_2025,2.00,3.00,4.00,11.00,70.16
Walsh,2025,Walsh_2025,3.00,11.00,6.00,11.00,68.63
Akron,2025,Akron_2025,1.00,4.00,1.00,11.00,52.80
Akron,2025,Akron_2025,2.00,5.00,6.00,11.00,51.07
Akron,2025,Akron_2025,3.00,3.00,12.00,11.00,43.44
Genoa,2025,Genoa_2025,1.00,18.00,1.00,11.00,46.61
Genoa,2025,Genoa_2025,2.00,4.00,3.00,11.00,40.08
Genoa,2025,Genoa_2025,3.00,10.00,5.00,11.00,45.12
Julesburg,2025,Julesburg_2025,1.00,7.00,2.00,11.00,63.28
Julesburg,2025,Julesburg_2025,2.00,9.00,8.00,11.00,56.27
Julesburg,2025,Julesburg_2025,3.00,3.00,11.00,11.00,69.84
Orchard,2025,Orchard_2025,1.00,17.00,1.00,11.00,27.12
Orchard,2025,Orchard_2025,2.00,9.00,4.00,11.00,27.89
Orchard,2025,Orchard_2025,3.00,12.00,7.00,11.00,30.79
Yuma,2025,Yuma_2025,1.00,3.00,2.00,11.00,89.51
Yuma,2025,Yuma_2025,2.00,2.00,3.00,11.00,83.71
Yuma,2025,Yuma_2025,3.00,21.00,5.00,11.00,83.08
Burlington,2025,Burlington_2025,1.00,2.00,4.00,12.00,55.83
Burlington,2025,Burlington_2025,2.00,7.00,7.00,12.00,63.73
Burlington,2025,Burlington_2025,3.00,3.00,9.00,12.00,60.60
Lamar,2025,Lamar_2025,1.00,7.00,2.00,12.00,67.98
Lamar,2025,Lamar_2025,2.00,4.00,4.00,12.00,68.99
Lamar,2025,Lamar_2025,3.00,10.00,5.00,12.00,72.43
SLake,2025,SLake_2025,1.00,19.00,1.00,12.00,56.83
SLake,2025,SLake_2025,2.00,4.00,3.00,12.00,58.59
SLake,2025,SLake_2025,3.00,6.00,6.00,12.00,57.70
Walsh,2025,Walsh_2025,1.00,17.00,2.00,12.00,69.25
Walsh,2025,Walsh_2025,2.00,2.00,4.00,12.00,60.57
Walsh,2025,Walsh_2025,3.00,1.00,6.00,12.00,53.10
Akron,2025,Akron_2025,1.00,10.00,2.00,12.00,39.26
Akron,2025,Akron_2025,2.00,5.00,5.00,12.00,38.06
Akron,2025,Akron_2025,3.00,9.00,12.00,12.00,34.96
Genoa,2025,Genoa_2025,1.00,18.00,2.00,12.00,57.33
Genoa,2025,Genoa_2025,2.00,2.00,4.00,12.00,47.70
Genoa,2025,Genoa_2025,3.00,1.00,5.00,12.00,39.98
Julesburg,2025,Julesburg_2025,1.00,5.00,2.00,12.00,61.80
Julesburg,2025,Julesburg_2025,2.00,13.00,5.00,12.00,56.33
Julesburg,2025,Julesburg_2025,3.00,6.00,10.00,12.00,52.28
Orchard,2025,Orchard_2025,1.00,14.00,1.00,12.00,13.18
Orchard,2025,Orchard_2025,2.00,2.00,4.00,12.00,10.21
Orchard,2025,Orchard_2025,3.00,12.00,9.00,12.00,16.26
Yuma,2025,Yuma_2025,1.00,25.00,1.00,12.00,82.85
Yuma,2025,Yuma_2025,2.00,21.00,3.00,12.00,82.93
Yuma,2025,Yuma_2025,3.00,1.00,5.00,12.00,82.76
Burlington,2025,Burlington_2025,1.00,5.00,4.00,13.00,61.83
Burlington,2025,Burlington_2025,2.00,2.00,5.00,13.00,57.61
Burlington,2025,Burlington_2025,3.00,8.00,12.00,13.00,71.49
Lamar,2025,Lamar_2025,1.00,18.00,1.00,13.00,70.03
Lamar,2025,Lamar_2025,2.00,8.00,4.00,13.00,72.34
Lamar,2025,Lamar_2025,3.00,11.00,5.00,13.00,64.59
SLake,2025,SLake_2025,1.00,6.00,2.00,13.00,68.63
SLake,2025,SLake_2025,2.00,17.00,4.00,13.00,63.88
SLake,2025,SLake_2025,3.00,8.00,5.00,13.00,66.59
Walsh,2025,Walsh_2025,1.00,17.00,1.00,13.00,65.39
Walsh,2025,Walsh_2025,2.00,2.00,3.00,13.00,78.01
Walsh,2025,Walsh_2025,3.00,12.00,6.00,13.00,68.05
Akron,2025,Akron_2025,1.00,1.00,3.00,13.00,50.83
Akron,2025,Akron_2025,2.00,9.00,5.00,13.00,45.60
Akron,2025,Akron_2025,3.00,3.00,10.00,13.00,42.82
Genoa,2025,Genoa_2025,1.00,3.00,1.00,13.00,45.72
Genoa,2025,Genoa_2025,2.00,5.00,3.00,13.00,34.60
Genoa,2025,Genoa_2025,3.00,13.00,5.00,13.00,47.67
Julesburg,2025,Julesburg_2025,1.00,9.00,2.00,13.00,57.67
Julesburg,2025,Julesburg_2025,2.00,10.00,5.00,13.00,55.15
Julesburg,2025,Julesburg_2025,3.00,1.00,11.00,13.00,55.30
Orchard,2025,Orchard_2025,1.00,15.00,1.00,13.00,28.13
Orchard,2025,Orchard_2025,2.00,11.00,6.00,13.00,22.93
Orchard,2025,Orchard_2025,3.00,17.00,8.00,13.00,27.40
Yuma,2025,Yuma_2025,1.00,19.00,1.00,13.00,90.04
Yuma,2025,Yuma_2025,2.00,7.00,4.00,13.00,88.01
Yuma,2025,Yuma_2025,3.00,9.00,5.00,13.00,88.19
Burlington,2025,Burlington_2025,1.00,6.00,1.00,14.00,76.38
Burlington,2025,Burlington_2025,2.00,9.00,7.00,14.00,77.00
Burlington,2025,Burlington_2025,3.00,4.00,11.00,14.00,79.83
Lamar,2025,Lamar_2025,1.00,17.00,2.00,14.00,80.49
Lamar,2025,Lamar_2025,2.00,10.00,4.00,14.00,84.33
Lamar,2025,Lamar_2025,3.00,1.00,6.00,14.00,84.15
SLake,2025,SLake_2025,1.00,16.00,1.00,14.00,62.58
SLake,2025,SLake_2025,2.00,2.00,4.00,14.00,70.81
SLake,2025,SLake_2025,3.00,14.00,5.00,14.00,66.78
Walsh,2025,Walsh_2025,1.00,1.00,1.00,14.00,76.62
Walsh,2025,Walsh_2025,2.00,8.00,4.00,14.00,72.67
Walsh,2025,Walsh_2025,3.00,9.00,5.00,14.00,76.07
Akron,2025,Akron_2025,1.00,6.00,2.00,14.00,46.12
Akron,2025,Akron_2025,2.00,10.00,7.00,14.00,58.70
Akron,2025,Akron_2025,3.00,2.00,10.00,14.00,45.87
Genoa,2025,Genoa_2025,1.00,15.00,1.00,14.00,48.03
Genoa,2025,Genoa_2025,2.00,14.00,4.00,14.00,51.02
Genoa,2025,Genoa_2025,3.00,20.00,5.00,14.00,45.22
Julesburg,2025,Julesburg_2025,1.00,7.00,4.00,14.00,59.56
Julesburg,2025,Julesburg_2025,2.00,12.00,6.00,14.00,50.19
Julesburg,2025,Julesburg_2025,3.00,1.00,12.00,14.00,50.77
Orchard,2025,Orchard_2025,1.00,12.00,1.00,14.00,18.33
Orchard,2025,Orchard_2025,2.00,14.00,5.00,14.00,25.79
Orchard,2025,Orchard_2025,3.00,17.00,9.00,14.00,27.87
Yuma,2025,Yuma_2025,1.00,26.00,1.00,14.00,89.17
Yuma,2025,Yuma_2025,2.00,3.00,3.00,14.00,89.78
Yuma,2025,Yuma_2025,3.00,14.00,5.00,14.00,81.62
Burlington,2025,Burlington_2025,1.00,8.00,1.00,15.00,53.44
Burlington,2025,Burlington_2025,2.00,11.00,6.00,15.00,71.94
Burlington,2025,Burlington_2025,3.00,7.00,12.00,15.00,69.59
Lamar,2025,Lamar_2025,1.00,15.00,2.00,15.00,84.05
Lamar,2025,Lamar_2025,2.00,8.00,3.00,15.00,81.84
Lamar,2025,Lamar_2025,3.00,20.00,6.00,15.00,91.04
SLake,2025,SLake_2025,1.00,5.00,2.00,15.00,67.89
SLake,2025,SLake_2025,2.00,15.00,4.00,15.00,69.40
SLake,2025,SLake_2025,3.00,19.00,6.00,15.00,61.38
Walsh,2025,Walsh_2025,1.00,19.00,1.00,15.00,72.78
Walsh,2025,Walsh_2025,2.00,13.00,4.00,15.00,68.78
Walsh,2025,Walsh_2025,3.00,14.00,5.00,15.00,61.94
Akron,2025,Akron_2025,1.00,12.00,4.00,15.00,44.63
Akron,2025,Akron_2025,2.00,2.00,8.00,15.00,50.01
Akron,2025,Akron_2025,3.00,7.00,11.00,15.00,40.91
Genoa,2025,Genoa_2025,1.00,8.00,1.00,15.00,44.98
Genoa,2025,Genoa_2025,2.00,15.00,4.00,15.00,51.84
Genoa,2025,Genoa_2025,3.00,13.00,6.00,15.00,45.64
Julesburg,2025,Julesburg_2025,1.00,7.00,3.00,15.00,60.97
Julesburg,2025,Julesburg_2025,2.00,6.00,7.00,15.00,55.93
Julesburg,2025,Julesburg_2025,3.00,10.00,9.00,15.00,61.07
Orchard,2025,Orchard_2025,1.00,7.00,3.00,15.00,21.02
Orchard,2025,Orchard_2025,2.00,15.00,5.00,15.00,20.48
Orchard,2025,Orchard_2025,3.00,8.00,8.00,15.00,18.09
Yuma,2025,Yuma_2025,1.00,9.00,1.00,15.00,106.12
Yuma,2025,Yuma_2025,2.00,13.00,3.00,15.00,94.73
Yuma,2025,Yuma_2025,3.00,19.00,5.00,15.00,87.54
Burlington,2025,Burlington_2025,1.00,3.00,4.00,16.00,67.52
Burlington,2025,Burlington_2025,2.00,2.00,7.00,16.00,69.78
Burlington,2025,Burlington_2025,3.00,11.00,10.00,16.00,77.99
Lamar,2025,Lamar_2025,1.00,5.00,1.00,16.00,76.17
Lamar,2025,Lamar_2025,2.00,4.00,3.00,16.00,71.30
Lamar,2025,Lamar_2025,3.00,14.00,5.00,16.00,70.62
SLake,2025,SLake_2025,1.00,20.00,2.00,16.00,65.03
SLake,2025,SLake_2025,2.00,4.00,4.00,16.00,66.25
SLake,2025,SLake_2025,3.00,17.00,6.00,16.00,65.46
Walsh,2025,Walsh_2025,1.00,4.00,1.00,16.00,70.81
Walsh,2025,Walsh_2025,2.00,19.00,3.00,16.00,77.61
Walsh,2025,Walsh_2025,3.00,17.00,5.00,16.00,66.27
