"env","cov","entry","estimate","stderr","df","lower.CL","upper.CL","var_lsmean"
"FortCollins_2024","sph","17",4406.53401869233,195.136253952768,3,3785.52336827344,5027.54466911122,38078.157606719
"FortCollins_2024","sph","18",4468.0329646767,197.174554337017,3,3840.5355327309,5095.5303966225,38877.8048780011
"FortCollins_2025","expa","1",4551.97949659923,183.487507753038,3,3968.04035548485,5135.9186377136,33667.6655014212
"FortCollins_2025","expa","2",4695.25451521012,178.047214115536,3,4128.62881648208,5261.88021393817,31700.8104543036
"FortCollins_2025","expa","4",4537.09343190623,179.51251301153,3,3965.80449812049,5108.38236569197,32224.7423277148
"FortCollins_2025","expa","5",4651.72260771699,182.29319157994,3,4071.58431369503,5231.86090173894,33230.8076964008
"FortCollins_2025","expa","6",4568.59366067324,181.596803796068,3,3990.67158338111,5146.51573796536,32977.3991489476
"FortCollins_2025","expa","8",4276.96868914651,179.259703212919,3,3706.4843089703,4847.45306932271,32134.0411959837
"FortCollins_2025","expa","9",4401.35279430095,183.927159886051,3,3816.01448388026,4986.69110472164,33829.2001437489
"FortCollins_2025","expa","10",4474.37785081362,179.457910830403,3,3903.26268553747,5045.49301608977,32205.1417596129
"FortCollins_2025","expa","11",4993.01443727882,180.243612303314,3,4419.39881925315,5566.63005530449,32487.7597761474
"FortCollins_2025","expa","12",4495.43179591528,184.365272125787,3,3908.69921681594,5082.16437501461,33990.5535660153
"FortCollins_2025","expa","13",4878.12856019519,178.702662540952,3,4309.41693204737,5446.840188343,31934.6415992254
"FortCollins_2025","expa","14",4147.19987979945,181.226371251761,3,3570.45668418931,4723.94307540959,32842.997637081
"FortCollins_2025","expa","16",4386.40565008752,180.598315173342,3,3811.66120922366,4961.15009095139,32615.7514434499
"FortCollins_2025","expa","17",4529.54385380933,178.174686976194,3,3962.51247954686,5096.5752280718,31746.2190790647
"FortCollins_2025","expa","19",4428.69508754577,191.016000315546,3,3820.79692309149,5036.59325200006,36487.1123765488
"FortCollins_2025","expa","20",4897.30750917292,178.528650129685,3,4329.14966618042,5465.46535216543,31872.4789171274
"RockyFord_2024","sph","1",4359.1722794475,240.945557779503,3,3592.3759793176,5125.9685795774,58054.7618136757
"RockyFord_2024","sph","2",4623.20138142303,241.609761558319,3,3854.29128843128,5392.11147441478,58375.276880268
"RockyFord_2024","sph","3",4220.7092800797,243.281231977672,3,3446.47982222749,4994.93873793191,59185.7578325737
"RockyFord_2024","sph","4",4108.4295753654,241.442370449225,3,3340.05219559032,4876.80695514048,58294.418248141
"RockyFord_2024","sph","5",4235.35903123217,237.124874281575,3,3480.72185118391,4989.99621128044,56228.2060030529
"RockyFord_2024","sph","6",4031.50376163365,240.140933417512,3,3267.26813533171,4795.73938793559,57667.667902634
"RockyFord_2024","sph","7",4361.17875366776,242.107178559402,3,3590.68565777873,5131.67184955679,58615.8859099941
"RockyFord_2024","sph","11",4562.76784186648,242.010862283408,3,3792.58126735412,5332.95441637884,58569.2574631585
"RockyFord_2024","sph","12",4211.44537516661,237.593536697153,3,3455.31670214546,4967.57404818775,56450.6886802616
"RockyFord_2024","sph","13",4220.43068528591,244.013717386351,3,3443.87013195118,4996.99123862064,59542.6942727058
"RockyFord_2024","sph","14",3777.27994266874,243.454452968052,3,3002.4992183157,4552.06066702178,59270.0706699737
"RockyFord_2024","sph","15",4118.2786161996,240.614076045952,3,3352.53723888791,4884.0199935113,57895.1335914473
"RockyFord_2024","sph","16",4492.11595413202,242.840398234456,3,3719.28942599715,5264.94248226689,58971.459014669
"RockyFord_2024","sph","18",4096.06337408596,237.997567837599,3,3338.64889365468,4853.47785451723,56642.8422966127
"RockyFord_2024","sph","19",4389.70381697199,241.464713372367,3,3621.25533204372,5158.15230190027,58305.2078039992
"RockyFord_2024","sph","20",4617.76796968204,242.31599438133,3,3846.61032865203,5388.92561071205,58717.0411330125
"RockyFord_2025","gau","1",4740.59120500363,188.22010296198,3,4141.59083375216,5339.59157625511,35426.8071590183
"RockyFord_2025","gau","2",4832.45267448922,187.863969223511,3,4234.58567973793,5430.31966924052,35292.8709324122
"RockyFord_2025","gau","3",4552.26185757569,183.935238363812,3,3966.8978378333,5137.62587731808,33832.1719119525
"RockyFord_2025","gau","4",4401.36017584519,185.950896836236,3,3809.58143124452,4993.13892044586,34577.7360342004
"RockyFord_2025","gau","5",4817.80759826183,190.293650918346,3,4212.2082719778,5423.40692454587,36211.6735798332
"RockyFord_2025","gau","6",4410.81470732575,192.409555657866,3,3798.48162782109,5023.1477868304,37021.4371084573
"RockyFord_2025","gau","7",4737.12451155901,186.637831692653,3,4143.15963366256,5331.08938945545,34833.6802189353
"RockyFord_2025","gau","8",4450.03821893779,190.459413332176,3,3843.9113626723,5056.16507520327,36274.7881268366
"RockyFord_2025","gau","10",4480.831948849,189.429898674721,3,3877.98146770136,5083.68242999663,35883.686511915
"RockyFord_2025","gau","11",5097.54469552952,189.624379757246,3,4494.07528877936,5701.01410227968,35957.4053983201
"RockyFord_2025","gau","13",4808.36855178106,184.628820550883,3,4220.79724397001,5395.9398595921,34087.8013780103
"RockyFord_2025","gau","14",4270.09951093644,188.84217716173,3,3669.11942194636,4871.07959992652,35661.3678751824
"RockyFord_2025","gau","15",4330.99544671609,195.128373127887,3,3710.00987659922,4951.98101683295,38075.0819995359
"RockyFord_2025","gau","17",4820.92690334889,194.374936112223,3,4202.33910607879,5439.51470061899,37781.6157886307
"RockyFord_2025","gau","18",4547.61012115287,191.046758815329,3,3939.6140694246,5155.60617288115,36498.8640538426
"RockyFord_2025","gau","20",5086.10328480379,195.574001050355,3,4463.69952775153,5708.50704185604,38249.1898868444
